frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1010,71,589,161,599,187,False,594.0,174.0,0.0
1010,4807,37,397,55,405,False,46.0,401.0,0.0
1010,6010,464,461,489,476,False,476.5,468.5,1.5
1010,6062,603,220,619,234,False,611.0,227.0,0.5
1010,6328,70,196,87,209,False,78.5,202.5,0.0
1010,6375,369,276,378,293,False,373.5,284.5,0.712609640686961
1010,6434,497,63,524,76,False,510.5,69.5,0.5
1010,6625,440,166,458,182,False,449.0,174.0,7.07106781186548
1010,6683,233,80,252,94,False,242.5,87.0,1.4142135623731
1010,6787,536,311,551,326,False,543.5,318.5,0.707106781186548
1010,7287,568,98,584,115,False,576.0,106.5,3.16227766016838
1010,7365,462,429,482,446,False,472.0,437.5,2.69258240356725
1010,7406,22,368,42,384,False,32.0,376.0,3.53553390593274
1010,7415,216,25,228,51,False,222.0,38.0,3.64005494464026
1010,7425,59,76,69,88,False,64.0,82.0,0.0
1010,7499,187,172,198,200,False,192.5,186.0,6.02079728939615
1010,7579,238,285,264,305,False,251.0,295.0,5.31507290636732
1010,7587,453,408,471,426,False,462.0,417.0,3.80788655293195
1010,7729,168,216,191,228,False,179.5,222.0,3.35410196624968
1010,7744,304,154,315,177,False,309.5,165.5,4.27200187265877
1010,7774,245,204,278,220,False,261.5,212.0,4.27200187265877
1010,7790,398,188,424,199,False,411.0,193.5,1.0
1010,7799,198,156,217,176,False,207.5,166.0,3.48209706929603
1010,7839,526,355,537,379,False,531.5,367.0,4.27200187265877
1010,7860,497,61,521,77,False,509.0,69.0,0.5
1010,7868,14,161,25,180,False,19.5,170.5,0.5
1010,7869,67,113,90,127,False,78.5,120.0,4.30116263352131
1010,7896,268,167,295,177,False,281.5,172.0,1.4142135623731
1010,7905,317,204,340,219,False,328.5,211.5,9.28035559663529
1010,7910,476,460,499,469,False,487.5,464.5,3.16227766016838
1010,7949,282,407,294,421,False,288.0,414.0,5.65685424949238
1010,7956,179,218,198,231,False,188.5,224.5,2.06155281280883
1010,7978,178,18,203,27,False,190.5,22.5,1.11803398874989
1010,7986,159,299,176,320,False,167.5,309.5,1.80277563773199
1010,7999,199,55,211,81,False,205.0,68.0,1.5
1010,8041,133,377,145,401,False,139.0,389.0,2.69258240356725
1010,8059,331,283,350,292,False,340.5,287.5,2.45537958142705
1010,8060,182,276,192,300,False,187.0,288.0,3.0
1010,8071,120,86,138,95,False,129.0,90.5,3.5
1010,8073,357,281,381,299,False,369.0,290.0,5.70087712549569
1010,8080,443,235,464,244,False,453.5,239.5,0.5
1010,8091,271,158,279,180,False,275.0,169.0,4.60977222864644
1010,8093,311,202,332,221,False,321.5,211.5,3.60555127546399
1010,8096,216,289,232,308,False,224.0,298.5,2.70416345659799
1010,8099,377,450,388,477,False,382.5,463.5,11.2749722837797
1010,8102,153,124,176,133,False,164.5,128.5,3.04138126514911
1010,8103,38,123,49,146,False,43.5,134.5,1.0
1010,8111,220,274,231,292,False,225.5,283.0,3.90512483795333
1010,8126,198,201,230,215,False,214.0,208.0,5.3851648071345
1010,8133,412,374,430,398,False,421.0,386.0,2.91547594742265
1010,8134,190,208,211,223,False,200.5,215.5,0.5
1010,8136,573,153,590,177,False,581.5,165.0,4.5
1010,8138,525,16,548,39,False,536.5,27.5,7.81024967590665
1010,8141,349,202,387,216,False,368.0,209.0,5.85234995535981
1010,8143,381,180,402,188,False,391.5,184.0,3.5
1010,8146,175,222,201,232,False,188.0,227.0,2.54950975679639
1010,8147,488,380,509,397,False,498.5,388.5,6.10327780786685
1010,8150,177,43,206,54,False,191.5,48.5,0.707106781186548
1010,8151,516,311,524,334,False,520.0,322.5,9.96242942258564
1010,8161,447,125,455,142,False,451.0,133.5,2.06155281280883
