frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1132,4338,479,381,493,405,False,486.0,393.0,3.60555127546399
1132,4807,37,397,55,405,False,46.0,401.0,0.0
1132,6223,209,236,220,256,False,214.5,246.0,2.06155281280883
1132,6328,70,196,87,209,False,78.5,202.5,0.0
1132,6354,590,231,603,249,False,596.5,240.0,2.5
1132,6787,537,310,551,326,False,544.0,318.0,0.5
1132,7391,598,100,607,120,False,602.5,110.0,0.353553390593274
1132,7425,58,74,70,89,False,64.0,81.5,0.0
1132,7809,461,99,476,116,False,468.5,107.5,1.64887451255245
1132,7999,201,308,212,332,False,206.5,320.0,4.57491496519613
1132,8050,214,217,230,232,False,222.0,224.5,2.26376980711648
1132,8096,471,355,488,371,False,479.5,363.0,5.40832691319598
1132,8127,421,436,443,446,False,432.0,441.0,6.67083203206317
1132,8138,380,241,399,257,False,389.5,249.0,3.22774957934143
1132,8285,45,362,58,390,False,51.5,376.0,3.64005494464026
1132,8337,295,165,308,183,False,301.5,174.0,1.11803398874989
1132,8387,295,153,310,179,False,302.5,166.0,2.5
1132,8427,85,432,98,448,False,91.5,440.0,0.353553390593274
1132,8428,518,255,539,269,False,528.5,262.0,2.12132034355964
1132,8560,324,434,333,453,False,328.5,443.5,3.09232921921325
1132,8594,294,158,308,187,False,301.0,172.5,4.52769256906871
1132,8597,553,107,567,132,False,560.0,119.5,3.35410196624968
1132,8612,316,164,330,184,False,323.0,174.0,2.33452350598575
1132,8673,531,391,548,408,False,539.5,399.5,2.5
1132,8674,393,297,421,311,False,407.0,304.0,4.74341649025257
1132,8678,130,322,150,342,False,140.0,332.0,6.60378679243962
1132,8681,584,317,595,340,False,589.5,328.5,1.5
1132,8762,418,435,434,447,False,426.0,441.0,1.03550259536131
1132,8770,242,80,253,95,False,247.5,87.5,4.03112887414927
1132,8797,226,77,252,88,False,239.0,82.5,2.0
1132,8827,376,239,392,252,False,384.0,245.5,4.12310562561766
1132,8880,556,340,574,354,False,565.0,347.0,2.5
1132,8883,360,379,378,388,False,369.0,383.5,4.12310562561766
1132,8910,430,143,440,155,False,435.0,149.0,2.06155281280883
1132,8917,345,313,362,331,False,353.5,322.0,6.80073525436772
1132,8938,537,67,556,76,False,546.5,71.5,1.0
1132,8940,204,219,239,234,False,221.5,226.5,3.64005494464026
1132,8948,463,90,473,115,False,468.0,102.5,1.11803398874989
1132,8957,134,8,151,36,False,142.5,22.0,1.0
1132,8960,139,357,161,372,False,150.0,364.5,7.15891053163818
1132,8967,432,134,441,156,False,436.5,145.0,1.0
1132,8979,349,221,383,232,False,366.0,226.5,1.76776695296637
1132,8981,264,380,294,390,False,279.0,385.0,9.12414379544733
1132,8986,343,418,356,446,False,349.5,432.0,9.0
1132,8987,308,369,340,381,False,324.0,375.0,8.0156097709407
1132,8989,130,329,135,340,False,132.5,334.5,1.58113883008419
1132,8990,533,43,553,53,False,543.0,48.0,0.5
1132,8996,143,126,158,150,False,150.5,138.0,6.26498204307083
1132,9001,539,86,553,107,False,546.0,96.5,0.5
