frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
72,19,321,318,350,329,False,335.5,323.5,0.0
72,20,539,312,553,327,False,546.0,319.5,0.5
72,25,382,243,396,258,False,389.0,250.5,4.34613493680177
72,27,539,239,554,253,False,546.5,246.0,1.58113883008419
72,29,512,110,528,127,False,520.0,118.5,2.12132034355964
72,34,430,405,442,421,False,436.0,413.0,0.5
72,41,507,206,535,218,False,521.0,212.0,2.69258240356725
72,42,604,219,618,233,False,611.0,226.0,0.707106781186548
72,45,267,292,280,309,False,273.5,300.5,2.54950975679639
72,51,70,198,86,210,False,78.0,204.0,0.0
72,54,462,186,483,204,False,472.5,195.0,2.5
72,59,14,161,23,176,False,18.5,168.5,0.5
72,62,228,175,249,185,False,238.5,180.0,0.707106781186548
72,64,510,204,527,217,False,518.5,210.5,2.23606797749979
72,71,598,100,607,123,False,602.5,111.5,0.5
72,73,436,108,455,117,False,445.5,112.5,1.0
72,74,57,72,69,88,False,63.0,80.0,0.0
72,77,185,67,208,80,False,196.5,73.5,3.5
72,121,162,160,144,141,False,153.0,150.5,1.58113883008419
72,137,556,282,569,299,False,562.5,290.5,5.31507290636732
72,160,260,179,283,191,False,271.5,185.0,1.4142135623731
72,161,442,125,454,142,False,448.0,133.5,0.707106781186548
72,168,489,265,509,284,False,499.0,274.5,1.0
72,171,535,262,561,271,False,548.0,266.5,2.53797685777712
72,205,36,397,55,406,False,45.5,401.5,0.5
72,211,206,6,230,23,False,218.0,14.5,1.0
72,221,149,351,171,363,False,160.0,357.0,5.1478150704935
72,222,270,151,301,162,False,285.5,156.5,0.707106781186548
72,225,99,376,107,391,False,103.0,383.5,2.54950975679639
72,234,166,265,184,285,False,175.0,275.0,3.90512483795333
72,238,240,257,251,281,False,245.5,269.0,4.74341649025257
72,246,174,263,188,284,False,181.0,273.5,3.64005494464026
72,270,357,301,384,310,False,370.5,305.5,4.12310562561766
72,275,313,246,333,260,False,323.0,253.0,1.80277563773199
72,277,348,192,368,207,False,358.0,199.5,2.23606797749979
72,279,184,306,197,330,False,190.5,318.0,4.92442890089805
72,280,187,172,207,182,False,197.0,177.0,1.11803398874989
72,288,401,241,413,251,False,407.0,246.0,4.47213595499958
72,291,262,184,278,194,False,270.0,189.0,3.90512483795333
72,293,482,157,494,179,False,488.0,168.0,3.16227766016838
72,311,309,150,341,164,False,325.0,157.0,0.5
72,312,572,172,590,180,False,581.0,176.0,0.25
72,321,399,304,416,320,False,407.5,312.0,0.0
72,328,396,240,418,253,False,407.0,246.5,0.707106781186548
72,343,190,170,211,178,False,200.5,174.0,0.5
72,361,276,144,289,164,False,282.5,154.0,1.0
72,366,325,153,339,167,False,332.0,160.0,1.80277563773199
72,378,323,153,347,164,False,335.0,158.5,1.4142135623731
72,424,260,293,287,307,False,273.5,300.0,7.04006392016436
72,470,526,343,537,366,False,531.5,354.5,3.04138126514911
72,498,314,377,332,386,False,323.0,381.5,3.16227766016838
72,501,441,118,450,136,False,445.5,127.0,1.58113883008419
72,521,586,215,596,236,False,591.0,225.5,3.60555127546399
72,562,461,112,470,134,False,465.5,123.0,2.23606797749979
72,569,183,309,198,328,False,190.5,318.5,6.80073525436772
72,573,218,172,242,182,False,230.0,177.0,3.16227766016838
72,585,316,375,337,384,False,326.5,379.5,2.0
72,630,333,159,347,172,False,340.0,165.5,1.0
72,643,226,165,249,175,False,237.5,170.0,0.5
72,646,372,216,392,232,False,382.0,224.0,3.09232921921325
72,660,381,141,393,164,False,387.0,152.5,3.60555127546399
72,663,515,93,531,122,False,523.0,107.5,0.5
72,664,487,90,514,100,False,500.5,95.0,1.58113883008419
72,667,253,324,279,340,False,266.0,332.0,9.21954445729289
72,670,233,347,251,370,False,242.0,358.5,5.65685424949238
72,672,429,208,444,224,False,436.5,216.0,4.30116263352131
72,673,345,368,366,379,False,355.5,373.5,10.1980390271856
72,674,388,244,407,253,False,397.5,248.5,0.5
72,675,333,283,364,296,False,348.5,289.5,2.69258240356725
72,683,148,143,165,159,False,156.5,151.0,3.60555127546399
72,686,283,391,298,410,False,290.5,400.5,3.0
72,696,99,342,123,358,False,111.0,350.0,1.4142135623731
72,702,493,132,502,158,False,497.5,145.0,5.70087712549569
72,705,437,344,452,371,False,444.5,357.5,4.74341649025257
72,706,315,244,324,255,False,319.5,249.5,0.5
72,718,377,451,403,465,False,390.0,458.0,6.5
72,719,368,191,393,211,False,380.5,201.0,3.60555127546399
72,720,305,378,330,389,False,317.5,383.5,2.06155281280883
72,721,541,381,548,392,False,544.5,386.5,2.5
72,723,211,11,230,32,False,220.5,21.5,1.11803398874989
72,724,286,207,314,220,False,300.0,213.5,6.80073525436772
72,726,522,223,541,233,False,531.5,228.0,9.01387818865997
