frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
403,42,603,219,619,235,False,611.0,227.0,0.5
403,51,70,197,86,208,False,78.0,202.5,0.0
403,71,597,100,608,123,False,602.5,111.5,0.5
403,74,57,73,69,88,False,63.0,80.5,0.0
403,172,437,252,465,265,False,451.0,258.5,2.5
403,200,406,436,431,454,False,418.5,445.0,5.31507290636732
403,663,336,224,354,247,False,345.0,235.5,2.5
403,704,341,213,355,235,False,348.0,224.0,3.80788655293195
403,966,317,398,331,421,False,324.0,409.5,12.4949989995998
403,1003,255,236,274,247,False,264.5,241.5,2.82842712474619
403,1050,13,160,24,178,False,18.5,169.0,0.0
403,1153,381,395,395,422,False,388.0,408.5,3.10118476372749
403,1491,308,349,333,361,False,320.5,355.0,0.0
403,1721,413,184,429,207,False,421.0,195.5,3.60555127546399
403,1760,367,217,389,239,False,378.0,228.0,6.9462219947249
403,1829,315,407,343,423,False,329.0,415.0,2.00249843945008
403,1896,465,106,479,127,False,472.0,116.5,1.80277563773199
403,1941,320,392,336,414,False,328.0,403.0,5.22015325445528
403,1970,300,345,325,361,False,312.5,353.0,0.354338193757822
403,1979,256,142,279,157,False,267.5,149.5,0.707106781186548
403,2101,208,259,231,268,False,219.5,263.5,5.02493781056044
403,2124,540,320,544,324,False,542.0,322.0,0.707106781186548
403,2242,356,137,370,158,False,363.0,147.5,2.06155281280883
403,2282,37,397,55,406,False,46.0,401.5,0.0
403,2309,339,362,313,346,False,326.0,354.0,2.5
403,2320,198,334,213,345,False,205.5,339.5,3.5
403,2323,462,100,482,113,False,472.0,106.5,1.80277563773199
403,2359,521,53,538,62,False,529.5,57.5,3.48718996143894
403,2398,492,300,506,313,False,499.0,306.5,2.23606797749979
403,2400,498,68,525,87,False,511.5,77.5,0.0
403,2407,602,269,614,290,False,608.0,279.5,1.11803398874989
403,2426,487,305,512,316,False,499.5,310.5,2.06155281280883
403,2503,331,428,351,444,False,341.0,436.0,3.20156211871642
403,2523,112,198,132,223,False,122.0,210.5,4.24193996855089
403,2561,215,114,233,130,False,224.0,122.0,6.40192891850191
403,2603,298,395,313,412,False,305.5,403.5,0.707106781186548
403,2617,352,399,378,409,False,365.0,404.0,4.5296572871343
403,2632,277,175,295,192,False,286.0,183.5,2.69258240356725
403,2668,539,303,563,317,False,551.0,310.0,0.707106781186548
403,2680,281,384,309,402,False,295.0,393.0,3.20156211871642
403,2701,309,406,327,424,False,318.0,415.0,4.24264068711928
403,2713,384,385,404,395,False,394.0,390.0,1.34629120178363
403,2716,308,346,332,359,False,320.0,352.5,4.47213595499958
403,2723,180,167,194,196,False,187.0,181.5,1.4142135623731
403,2729,226,75,238,101,False,232.0,88.0,5.3851648071345
403,2755,215,113,232,132,False,223.5,122.5,0.0
403,2844,584,278,593,292,False,588.5,285.0,2.22402541858226
403,2848,51,74,70,101,False,60.5,87.5,3.60555127546399
403,2891,499,29,511,54,False,505.0,41.5,8.0156097709407
403,2899,467,95,483,126,False,475.0,110.5,0.0
403,3020,541,167,561,181,False,551.0,174.0,1.80277563773199
403,3023,280,163,293,190,False,286.5,176.5,3.16227766016838
403,3034,230,85,238,103,False,234.0,94.0,4.74341649025257
403,3050,264,358,275,377,False,269.5,367.5,5.48862460002504
403,3064,107,207,124,232,False,115.5,219.5,1.80277563773199
403,3123,522,87,548,98,False,535.0,92.5,4.52769256906871
403,3168,453,464,466,480,False,459.5,472.0,2.11275520775627
403,3192,361,393,380,404,False,370.5,398.5,19.3002590656188
403,3267,346,385,368,395,False,357.0,390.0,6.40373426213174
403,3279,162,355,181,364,False,171.5,359.5,7.45821694508815
403,3284,343,296,359,316,False,351.0,306.0,5.81081964958473
403,3304,545,107,529,90,False,537.0,98.5,2.54950975679639
403,3330,432,252,455,264,False,443.5,258.0,3.60555127546399
403,3336,491,106,510,116,False,500.5,111.0,1.56624551076771
403,3352,323,193,338,217,False,330.5,205.0,4.92442890089805
403,3374,210,352,222,376,False,216.0,364.0,4.27200187265877
403,3378,373,318,380,336,False,376.5,327.0,4.5
403,3382,174,164,200,177,False,187.0,170.5,2.06155281280883
403,3403,89,170,101,197,False,95.0,183.5,9.61769203083567
403,3424,253,132,270,153,False,261.5,142.5,1.4142135623731
403,3437,295,396,314,408,False,304.5,402.0,7.61577310586391
403,3441,243,351,258,366,False,250.5,358.5,4.30116263352131
403,3442,353,382,364,397,False,358.5,389.5,0.25
403,3444,379,373,393,400,False,386.0,386.5,8.69626356546304
403,3454,536,316,550,324,False,543.0,320.0,1.0
403,3455,219,177,231,205,False,225.0,191.0,3.04138126514911
403,3456,492,75,516,86,False,504.0,80.5,1.0
403,3472,481,119,500,131,False,490.5,125.0,5.70087712549569
403,3475,499,102,510,113,False,504.5,107.5,1.11803398874989
403,3476,448,154,470,164,False,459.0,159.0,6.18465843842649
403,3478,230,372,250,392,False,240.0,382.0,4.24264068711928
403,3479,558,117,575,136,False,566.5,126.5,3.18688719599549
403,3483,516,51,528,73,False,522.0,62.0,1.11803398874989
