frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1638,4807,30,392,55,405,False,42.5,398.5,0.0
1638,9537,451,392,470,410,False,460.5,401.0,4.3147823744397
1638,9809,602,219,617,235,False,609.5,227.0,0.0
1638,10208,70,197,87,209,False,78.5,203.0,0.0
1638,10269,298,124,310,139,False,304.0,131.5,2.66796843226369
1638,10456,284,157,303,176,False,293.5,166.5,1.0
1638,11033,507,66,522,88,False,514.5,77.0,1.0
1638,11122,424,179,444,205,False,434.0,192.0,3.20156211871642
1638,11329,140,392,155,401,False,147.5,396.5,4.47496168900423
1638,11434,275,396,295,410,False,285.0,403.0,2.91547594742265
1638,11463,446,404,470,416,False,458.0,410.0,0.707106781186548
1638,11497,295,365,324,382,False,309.5,373.5,3.80788655293195
1638,11656,288,261,300,281,False,294.0,271.0,11.3495594628162
1638,11819,574,163,602,174,False,588.0,168.5,1.5
1638,11827,37,397,54,405,False,45.5,401.0,0.0
1638,11848,538,312,550,325,False,544.0,318.5,0.707106781186548
1638,11982,48,253,77,262,False,62.5,257.5,3.04138126514911
1638,12029,386,237,408,253,False,397.0,245.0,0.896857683640635
1638,12049,176,147,193,170,False,184.5,158.5,4.12310562561766
1638,12054,210,149,241,162,False,225.5,155.5,1.58113883008419
1638,12072,352,130,370,141,False,361.0,135.5,1.01721296797781
1638,12078,298,372,328,387,False,313.0,379.5,3.0
1638,12087,73,44,91,54,False,82.0,49.0,1.0
1638,12127,519,165,540,173,False,529.5,169.0,7.5
1638,12133,490,248,505,270,False,497.5,259.0,0.707106781186548
1638,12251,523,338,540,360,False,531.5,349.0,4.7169905660283
1638,12262,285,206,303,230,False,294.0,218.0,1.0
1638,12286,523,36,535,52,False,529.0,44.0,0.5
1638,12324,381,404,399,422,False,390.0,413.0,4.24264068711928
1638,12329,253,313,274,330,False,263.5,321.5,3.04138126514911
1638,12358,373,190,400,201,False,386.5,195.5,5.52268050859363
1638,12360,300,257,315,275,False,307.5,266.0,3.53553390593274
1638,12376,292,250,310,257,False,301.0,253.5,5.02493781056044
1638,12472,593,177,614,186,False,603.5,181.5,1.11803398874989
1638,12487,261,101,292,116,False,276.5,108.5,2.23606797749979
1638,12488,52,255,72,265,False,62.0,260.0,4.60977222864644
1638,12509,292,145,322,161,False,307.0,153.0,3.35410196624968
1638,12533,455,399,486,412,False,470.5,405.5,6.0
1638,12616,149,147,159,169,False,154.0,158.0,6.80073525436772
1638,12631,534,212,552,235,False,543.0,223.5,3.64005494464026
1638,12637,96,295,109,319,False,102.5,307.0,4.74341649025257
1638,12642,177,47,187,71,False,182.0,59.0,1.0
1638,12664,170,7,188,25,False,179.0,16.0,1.58113883008419
1638,12676,457,275,488,288,False,472.5,281.5,12.6491106406735
1638,12686,562,111,581,129,False,571.5,120.0,4.7169905660283
1638,12708,224,233,235,258,False,229.5,245.5,5.59016994374947
1638,12710,200,252,208,277,False,204.0,264.5,6.08276253029822
1638,12731,275,204,304,214,False,289.5,209.0,6.80073525436772
1638,12735,250,113,262,134,False,256.0,123.5,1.11803398874989
1638,12736,522,41,540,55,False,531.0,48.0,0.0
1638,12738,237,362,257,374,False,247.0,368.0,9.96242942258564
1638,12742,187,260,200,282,False,193.5,271.0,5.02493781056044
1638,12743,25,264,34,291,False,29.5,277.5,9.5
1638,12749,129,391,150,400,False,139.5,395.5,2.54950975679639
1638,12752,519,250,521,253,False,520.0,251.5,1.0
1638,12754,94,155,126,172,False,110.0,163.5,2.82842712474619
1638,12761,218,376,242,392,False,230.0,384.0,7.90569415042095
1638,12769,445,295,478,311,False,461.5,303.0,3.87314093509712
1638,12772,508,245,531,261,False,519.5,253.0,1.58113883008419
1638,12773,61,453,82,462,False,71.5,457.5,1.4142135623731
1638,12774,469,123,480,149,False,474.5,136.0,5.70087712549569
1638,12775,265,101,283,118,False,274.0,109.5,4.03112887414927
