frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
2397,17998,423,254,447,271,False,435.0,262.5,0.5
2397,19364,402,403,416,427,False,409.0,415.0,2.23606797749979
2397,19769,406,392,421,416,False,413.5,404.0,5.75152832949643
2397,19968,97,189,109,218,False,103.0,203.5,6.02079728939615
2397,20270,316,290,328,318,False,322.0,304.0,4.47213595499958
2397,20321,522,48,531,64,False,526.5,56.0,4.03209777907233
2397,20499,156,60,173,77,False,164.5,68.5,2.48772496675257
2397,20751,58,135,74,156,False,66.0,145.5,3.16227766016838
2397,20753,442,298,453,323,False,447.5,310.5,8.86002257333467
2397,20778,521,52,530,79,False,525.5,65.5,2.0
2397,20807,110,246,127,271,False,118.5,258.5,7.10633520177595
2397,20838,470,39,482,50,False,476.0,44.5,2.23606797749979
2397,20997,29,72,46,93,False,37.5,82.5,3.16227766016838
2397,21019,6,283,15,313,False,10.5,298.0,9.5
2397,21021,101,177,113,206,False,107.0,191.5,4.74341649025257
2397,21073,427,75,442,87,False,434.5,81.0,0.5
2397,21086,183,23,207,35,False,195.0,29.0,2.26384628453435
