frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
135,148,164,331,184,346,False,174.0,338.5,3.60555127546399
135,160,405,406,417,423,False,411.0,414.5,0.5
135,305,503,244,517,265,False,510.0,254.5,2.02929927698099
135,467,543,179,564,189,False,553.5,184.0,3.04138126514911
135,495,314,412,323,428,False,318.5,420.0,2.46221445044903
135,518,442,465,461,480,False,451.5,472.5,1.11803398874989
135,566,330,208,348,230,False,339.0,219.0,0.5
135,573,495,193,520,204,False,507.5,198.5,3.0
135,581,525,131,539,169,False,532.0,150.0,4.0
135,632,311,247,334,263,False,322.5,255.0,1.5
135,640,466,159,492,171,False,479.0,165.0,4.03112887414927
135,642,494,194,518,207,False,506.0,200.5,1.0
135,644,537,355,550,377,False,543.5,366.0,1.4142135623731
135,652,542,81,554,106,False,548.0,93.5,4.5
135,713,428,236,459,248,False,443.5,242.0,4.47213595499958
135,734,189,336,181,322,False,185.0,329.0,4.30669246638299
135,752,433,220,457,231,False,445.0,225.5,8.07774721070176
135,758,190,33,205,40,False,197.5,36.5,5.09901951359278
135,801,338,438,319,424,False,328.5,431.0,2.18334040145873
135,818,425,226,435,252,False,430.0,239.0,7.51664818918645
135,846,204,257,213,281,False,208.5,269.0,4.5
135,863,525,144,538,153,False,531.5,148.5,2.5
135,868,447,460,461,480,False,454.0,470.0,0.0
135,893,544,137,555,153,False,549.5,145.0,4.03887360535088
135,919,192,35,214,44,False,203.0,39.5,4.27200187265877
135,932,32,122,48,149,False,40.0,135.5,5.0
135,937,385,437,400,459,False,392.5,448.0,1.80277563773199
135,939,495,355,508,376,False,501.5,365.5,3.60555127546399
135,941,225,257,249,278,False,237.0,267.5,9.5524865872714
135,947,472,426,485,450,False,478.5,438.0,11.2361025271221
135,948,327,154,338,177,False,332.5,165.5,5.09901951359278
135,952,369,174,385,196,False,377.0,185.0,6.5
135,961,209,114,223,135,False,216.0,124.5,5.22015325445528
135,963,441,224,470,236,False,455.5,230.0,8.73212459828649
