frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1615,10612,418,413,433,429,False,425.5,421.0,2.91547594742265
1615,10924,86,299,97,321,False,91.5,310.0,6.80073525436772
1615,12001,342,431,356,451,False,349.0,441.0,1.95256241897666
1615,12655,521,336,531,353,False,526.0,344.5,1.38011674224401
1615,12709,500,8,511,23,False,505.5,15.5,0.416666666666667
1615,12773,525,331,536,347,False,530.5,339.0,3.16227766016838
1615,13027,223,101,243,114,False,233.0,107.5,3.90477705366659
1615,13258,225,153,252,164,False,238.5,158.5,3.64005494464026
1615,13313,377,216,396,233,False,386.5,224.5,6.02079728939615
1615,13370,0,194,12,222,False,6.0,208.0,1.25123395883947
1615,13567,374,215,392,235,False,383.0,225.0,2.06155281280883
1615,13768,372,122,384,140,False,378.0,131.0,1.11803398874989
1615,13780,382,190,404,210,False,393.0,200.0,4.24264068711928
1615,13796,467,210,477,239,False,472.0,224.5,11.1018016555873
1615,13810,487,29,498,53,False,492.5,41.0,4.52769256906871
1615,13850,225,153,252,166,False,238.5,159.5,3.80788655293195
1615,13877,346,427,355,443,False,350.5,435.0,7.5
1615,13879,421,323,452,335,False,436.5,329.0,10.3077640640442
1615,13881,447,461,462,479,False,454.5,470.0,5.65685424949238
1615,13889,399,404,413,418,False,406.0,411.0,0.707106781186548
1615,13891,304,295,313,317,False,308.5,306.0,5.59016994374947
1615,13897,425,419,437,441,False,431.0,430.0,1.0
1615,13904,507,263,515,291,False,511.0,277.0,13.5830777072061
1615,13906,224,48,244,58,False,234.0,53.0,1.0
1615,13911,8,110,37,124,False,22.5,117.0,6.04152298679729
1615,13912,350,439,373,448,False,361.5,443.5,6.67083203206317
1615,13916,452,143,470,159,False,461.0,151.0,5.31507290636732
1615,13921,312,422,329,433,False,320.5,427.5,2.32366268722973
1615,13924,459,387,487,401,False,473.0,394.0,4.00077153053085
1615,13927,223,275,238,296,False,230.5,285.5,0.718520834318054
1615,13928,267,129,276,153,False,271.5,141.0,7.6357382269101
