0	
1	Time	Event	Trial
1	2034376	Start	0
834	2064377	CS On	0
890	2066377	US On	0
946	2068377	US Off	0
947	2068377	CS Off	0
1809	2099378	CS On	1
1863	2101378	US On	1
1919	2103378	US Off	1
1919	2103378	CS Off	1
2392	2120379	CS On	2
2448	2122379	US On	2
2504	2124379	US Off	2
2504	2124379	CS Off	2
3088	2145380	CS On	3
3144	2147380	US On	3
3200	2149380	US Off	3
3200	2149380	CS Off	3
4045	2180381	CS On	4
4099	2182381	US On	4
4154	2184381	US Off	4
4154	2184381	CS Off	4
4613	2201382	CS On	5
4667	2203382	US On	5
4721	2205382	US Off	5
4721	2205382	CS Off	5
5369	2229383	CS On	6
5423	2231383	US On	6
5478	2233383	US Off	6
5478	2233383	CS Off	6
5937	2250384	CS On	7
5992	2252384	US On	7
6047	2254384	US Off	7
6047	2254384	CS Off	7
6614	2275385	CS On	8
6669	2277385	US On	8
6724	2279385	US Off	8
6724	2279385	CS Off	8
7183	2296386	CS On	9
7238	2298386	US On	9
7293	2300386	US Off	9
7293	2300386	CS Off	9
7888	2322387	CS On	10
7943	2324387	US On	10
7997	2326387	US Off	10
7998	2326387	CS Off	10
8644	2350388	CS On	11
8699	2352388	US On	11
8754	2354388	US Off	11
8754	2354388	CS Off	11
9212	2371389	CS On	12
9267	2373389	US On	12
9321	2375389	US Off	12
9322	2375389	CS Off	12
9994	2400390	CS On	13
10049	2402390	US On	13
10104	2404390	US Off	13
10105	2404390	CS Off	13
10105	2404391	CS On	14
10106	2404391	US On	14
10106	2404391	US Off	14
10106	2404391	CS Off	14
10535	2420392	CS On	15
10590	2422392	US On	15
10645	2424392	US Off	15
10645	2424392	CS Off	15
11370	2450393	CS On	16
11423	2452393	US On	16
11480	2454393	US Off	16
11480	2454393	CS Off	16
11954	2471394	CS On	17
12007	2473394	US On	17
12062	2475394	US Off	17
12062	2475394	CS Off	17
12958	2507395	CS On	18
13015	2509395	US On	18
13072	2511395	US Off	18
13072	2511395	CS Off	18
13605	2530396	CS On	19
13661	2532396	US On	19
13718	2534396	US Off	19
13718	2534396	CS Off	19
14397	2559397	CS On	20
14453	2561397	US On	20
14509	2563397	US Off	20
14510	2563397	CS Off	20
14957	2579398	CS On	21
15013	2581398	US On	21
15070	2583398	US Off	21
15070	2583398	CS Off	21
15881	2612399	CS On	22
15938	2614400	US On	22
15995	2616399	US Off	22
15995	2616399	CS Off	22
16863	2647400	CS On	23
16919	2649400	US On	23
16976	2651400	US Off	23
16976	2651400	CS Off	23
17447	2668401	CS On	24
17502	2670401	US On	24
17559	2672401	US Off	24
17559	2672401	CS Off	24
17999	2688402	CS On	25
18055	2690402	US On	25
18112	2692402	US Off	25
18112	2692402	CS Off	25
18588	2709403	CS On	26
18645	2711403	US On	26
18701	2713403	US Off	26
18702	2713403	CS Off	26
19149	2729404	CS On	27
19205	2731404	US On	27
19262	2733404	US Off	27
19262	2733404	CS Off	27
19736	2750405	CS On	28
19793	2752405	US On	28
19850	2754405	US Off	28
19850	2754405	CS Off	28
20437	2775406	CS On	29
20494	2777406	US On	29
20550	2779406	US Off	29
20551	2779406	CS Off	29
