frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
2988,21293,355,155,371,163,False,363.0,159.0,1.0
2988,24782,154,268,181,280,False,167.5,274.0,7.07106781186548
2988,25025,224,145,240,157,False,232.0,151.0,2.82842712474619
2988,25229,421,104,439,118,False,430.0,111.0,4.30116263352131
2988,25391,44,206,61,218,False,52.5,212.0,1.11803398874989
2988,25440,462,369,482,381,False,472.0,375.0,1.80277563773199
2988,25571,424,262,447,271,False,435.5,266.5,0.5
2988,25603,274,296,284,321,False,279.0,308.5,11.1803398874989
2988,25635,526,279,534,292,False,530.0,285.5,3.81608438061844
2988,25651,550,154,558,174,False,554.0,164.0,2.87923600977759
2988,25659,340,328,362,337,False,351.0,332.5,7.0
2988,25680,289,283,302,306,False,295.5,294.5,7.43303437365925
2988,25684,252,197,262,225,False,257.0,211.0,8.0156097709407
2988,25692,108,145,116,165,False,112.0,155.0,1.58113883008419
2988,25698,522,282,534,296,False,528.0,289.0,4.69707355701398
2988,25701,273,183,283,211,False,278.0,197.0,13.0096118312577
2988,25704,94,170,116,180,False,105.0,175.0,6.57647321898295
2988,25706,542,118,549,140,False,545.5,129.0,11.0
2988,25708,484,30,504,44,False,494.0,37.0,6.5
2988,25713,301,323,315,345,False,308.0,334.0,10.0623058987491
2988,25720,382,180,394,207,False,388.0,193.5,9.39414711402797
