frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
951,4001,445,406,461,427,False,453.0,416.5,3.80788655293195
951,4331,6,186,20,208,False,13.0,197.0,3.04138126514911
951,4526,223,320,234,340,False,228.5,330.0,4.52769256906871
951,5199,522,206,537,223,False,529.5,214.5,4.24264068711928
951,5409,536,55,545,73,False,540.5,64.0,2.90688837074973
951,5510,21,167,31,189,False,26.0,178.0,2.06155281280883
951,5792,336,189,358,207,False,347.0,198.0,1.58113883008419
951,6038,400,405,414,420,False,407.0,412.5,0.0
951,6142,428,453,444,473,False,436.0,463.0,4.60977222864644
951,6617,67,219,82,242,False,74.5,230.5,3.35410196624968
951,6856,455,436,473,453,False,464.0,444.5,1.0
951,6918,545,138,556,157,False,550.5,147.5,0.945847820303855
951,7052,454,435,465,457,False,459.5,446.0,2.49149788849902
951,7340,447,204,460,225,False,453.5,214.5,0.950146187582615
951,7631,437,376,447,396,False,442.0,386.0,3.60555127546399
951,7646,124,284,134,307,False,129.0,295.5,2.23606797749979
951,7653,475,373,493,380,False,484.0,376.5,4.36208410943413
951,7759,448,418,459,443,False,453.5,430.5,8.24621125123532
951,7760,362,247,383,264,False,372.5,255.5,0.5
951,7858,202,105,213,131,False,207.5,118.0,5.27701558564349
951,7873,420,311,430,315,False,425.0,313.0,0.89680180208462
951,7894,531,225,538,248,False,534.5,236.5,3.98120584747888
951,7986,540,123,560,149,False,550.0,136.0,2.64262579159066
951,8008,381,119,399,127,False,390.0,123.0,7.28868986855663
951,8039,226,357,244,367,False,235.0,362.0,0.5
951,8085,103,82,127,91,False,115.0,86.5,3.0
951,8095,432,329,456,345,False,444.0,337.0,4.30116263352131
951,8121,451,196,463,224,False,457.0,210.0,7.5
951,8137,424,300,437,325,False,430.5,312.5,4.60977222864644
951,8160,540,63,549,85,False,544.5,74.0,5.70087712549569
951,8162,82,60,107,70,False,94.5,65.0,9.7082439194738
951,8163,438,227,471,240,False,454.5,233.5,9.3407708461347
951,8165,537,343,548,361,False,542.5,352.0,0.0
951,8171,524,149,533,173,False,528.5,161.0,10.3077640640442
951,8175,508,103,526,115,False,517.0,109.0,6.32455532033676
951,8177,343,154,356,183,False,349.5,168.5,8.13941029804985
951,8178,21,105,43,129,False,32.0,117.0,9.13251212853165
951,8181,156,271,175,282,False,165.5,276.5,6.57647321898295
951,8190,43,374,53,394,False,48.0,384.0,3.0
