frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
1418,7760,378,252,392,276,False,385.0,264.0,0.0
1418,10198,232,70,244,87,False,238.0,78.5,3.38697603301226
1418,10454,541,65,554,87,False,547.5,76.0,0.707106781186548
1418,10612,399,404,412,419,False,405.5,411.5,0.707106781186548
1418,10756,50,61,64,80,False,57.0,70.5,0.559016994374947
1418,10767,403,408,413,418,False,408.0,413.0,0.5
1418,11151,510,173,522,201,False,516.0,187.0,1.0
1418,11658,1,341,12,361,False,6.5,351.0,4.39089968002003
1418,12080,508,186,521,214,False,514.5,200.0,2.63038881393987
1418,12108,78,142,67,120,False,72.5,131.0,3.10077343873546
1418,12119,370,132,400,145,False,385.0,138.5,4.85103081829007
1418,12128,410,346,429,367,False,419.5,356.5,4.14347286064948
1418,12222,325,118,339,133,False,332.0,125.5,5.0
1418,12223,65,114,90,125,False,77.5,119.5,1.76776695296637
