frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
3237,25570,500,46,509,60,False,504.5,53.0,0.375
3237,25807,544,173,554,194,False,549.0,183.5,1.11803398874989
3237,26005,517,68,524,84,False,520.5,76.0,2.67853620715079
3237,26267,519,62,530,81,False,524.5,71.5,4.47213595499958
3237,26552,470,210,479,231,False,474.5,220.5,0.5
3237,26956,396,399,411,415,False,403.5,407.0,0.279508497187474
3237,27019,508,55,527,73,False,517.5,64.0,1.34202101628971
3237,27184,434,87,452,98,False,443.0,92.5,0.317323879410996
3237,27233,171,232,184,260,False,177.5,246.0,4.7169905660283
3237,27271,31,210,58,222,False,44.5,216.0,6.04152298679729
3237,27285,30,118,53,127,False,41.5,122.5,7.46275267678039
3237,27421,261,281,293,298,False,277.0,289.5,2.76531091279886
3237,27441,124,159,155,170,False,139.5,164.5,9.5
3237,27449,128,121,148,146,False,138.0,133.5,2.17306746840088
3237,27478,415,417,393,394,False,404.0,405.5,4.0945848385398
3237,27493,263,286,275,315,False,269.0,300.5,1.4142135623731
3237,27560,409,413,419,439,False,414.0,426.0,6.51920240520265
3237,27564,2,159,18,186,False,10.0,172.5,4.52769256906871
3237,27568,393,268,407,295,False,400.0,281.5,7.76208734813001
3237,27575,490,89,508,108,False,499.0,98.5,3.77123616632825
3237,27603,309,419,328,428,False,318.5,423.5,4.27200187265877
3237,27606,483,99,506,110,False,494.5,104.5,7.15891053163818
3237,27610,53,304,81,315,False,67.0,309.5,2.5
