frame,ID,xmin,ymin,xmax,ymax,remove,x,y,velocity
855,3822,431,360,443,369,False,437.0,364.5,0.330955057371843
855,4001,486,352,499,369,False,492.5,360.5,0.334488738299786
855,4286,358,249,380,264,False,369.0,256.5,0.5
855,4761,543,176,564,186,False,553.5,181.0,1.90394327646598
855,5238,482,117,497,135,False,489.5,126.0,3.20156211871642
855,5510,31,301,46,337,False,38.5,319.0,2.09464633114881
855,5515,490,354,502,372,False,496.0,363.0,1.0
855,5546,500,251,515,272,False,507.5,261.5,2.0
855,5792,522,225,540,237,False,531.0,231.0,2.54950975679639
855,5793,266,322,276,343,False,271.0,332.5,3.27212318280605
855,5946,466,445,482,465,False,474.0,455.0,3.20156211871642
855,6038,400,405,414,420,False,407.0,412.5,0.0
855,6201,199,153,212,180,False,205.5,166.5,2.23606797749979
855,6534,176,275,187,297,False,181.5,286.0,2.69258240356725
855,6602,472,437,488,459,False,480.0,448.0,0.5
855,6723,484,275,496,302,False,490.0,288.5,5.50567888638631
855,6738,170,275,187,296,False,178.5,285.5,3.16227766016838
855,6754,147,194,168,210,False,157.5,202.0,0.800038953345277
855,6792,313,374,344,391,False,328.5,382.5,2.54950975679639
855,6800,116,116,146,134,False,131.0,125.0,1.8870666946505
855,6802,516,188,526,215,False,521.0,201.5,8.5146931829632
855,7008,1,121,20,131,False,10.5,126.0,0.884101692379975
855,7018,97,179,111,202,False,104.0,190.5,6.5
855,7052,209,175,223,200,False,216.0,187.5,5.31801184654566
855,7100,88,258,100,287,False,94.0,272.5,10.6066017177982
855,7141,498,298,519,308,False,508.5,303.0,1.90394327646598
855,7146,419,362,440,371,False,429.5,366.5,4.12310562561766
855,7151,6,146,17,170,False,11.5,158.0,4.68721665810319
855,7163,498,265,519,274,False,508.5,269.5,2.91547594742265
855,7179,238,156,252,183,False,245.0,169.5,6.26498204307083
855,7192,249,214,258,243,False,253.5,228.5,6.02079728939615
855,7193,528,224,543,239,False,535.5,231.5,1.4142135623731
855,7197,437,218,450,244,False,443.5,231.0,5.85234995535981
855,7198,138,191,173,205,False,155.5,198.0,4.12310562561766
855,7200,196,171,221,181,False,208.5,176.0,7.51664818918645
855,7205,1,157,11,180,False,6.0,168.5,1.80277563773199
855,7207,49,303,73,314,False,61.0,308.5,7.56637297521078
855,7208,443,91,461,99,False,452.0,95.0,4.27200187265877
855,7214,423,459,444,471,False,433.5,465.0,3.80788655293195
855,7222,98,160,117,178,False,107.5,169.0,8.32165848854662
855,7225,442,107,460,129,False,451.0,118.0,6.10327780786685
855,7228,224,212,233,237,False,228.5,224.5,12.369316876853
