"frame","time","stimulus","event","trial"
2,29017,"start","0",NA
278,39018,"CS","on",0
333,41018,"US","on",0
389,43018,"CS","off",0
389,43018,"US","off",0
666,53019,"CS","on",1
721,55019,"US","on",1
777,57019,"CS","off",1
777,57019,"US","off",1
1049,67020,"CS","on",2
1104,69020,"US","on",2
1160,71020,"CS","off",2
1160,71020,"US","off",2
1436,81021,"CS","on",3
1492,83021,"US","on",3
1547,85021,"CS","off",3
1547,85021,"US","off",3
1823,95022,"CS","on",4
1879,97022,"US","on",4
1934,99022,"CS","off",4
1934,99022,"US","off",4
2211,109023,"CS","on",5
2266,111023,"US","on",5
2322,113024,"CS","off",5
2323,113024,"US","off",5
2599,123025,"CS","on",6
2647,125025,"US","on",6
2702,127025,"CS","off",6
2702,127025,"US","off",6
2978,137026,"CS","on",7
3034,139026,"US","on",7
3089,141026,"CS","off",7
3089,141026,"US","off",7
3363,151027,"CS","on",8
3416,153027,"US","on",8
3472,155027,"CS","off",8
3472,155027,"US","off",8
3748,165028,"CS","on",9
3804,167028,"US","on",9
3860,169028,"CS","off",9
3860,169028,"US","off",9
