"frame","time","stimulus","event","trial"
282,219526,"CS","on",0
339,221526,"US","on",0
396,223526,"CS","off",0
396,223526,"US","off",0
676,233527,"CS","on",1
732,235527,"US","on",1
789,237527,"CS","off",1
789,237527,"US","off",1
1063,247528,"CS","on",2
1119,249528,"US","on",2
1175,251528,"CS","off",2
1175,251528,"US","off",2
1457,261529,"CS","on",3
1513,263529,"US","on",3
1570,265529,"CS","off",3
1570,265529,"US","off",3
1852,275530,"CS","on",4
1908,277530,"US","on",4
1964,279530,"CS","off",4
1965,279530,"US","off",4
2246,289531,"CS","on",5
2302,291531,"US","on",5
2359,293531,"CS","off",5
2359,293531,"US","off",5
2634,303532,"CS","on",6
2690,305532,"US","on",6
2746,307532,"CS","off",6
2746,307532,"US","off",6
3026,317533,"CS","on",7
3083,319533,"US","on",7
3139,321533,"CS","off",7
3139,321533,"US","off",7
3419,331534,"CS","on",8
3475,333534,"US","on",8
3531,335534,"CS","off",8
3531,335534,"US","off",8
3810,345535,"CS","on",9
3867,347535,"US","on",9
3923,349535,"CS","off",9
3923,349535,"US","off",9
