"frame","time","stimulus","event","trial"
469,34455,"US","On",0
525,36455,"US","Off",0
608,39455,"CS","On",0
720,43455,"CS","Off",0
1052,55456,"US","On",1
1107,57456,"US","Off",1
1162,59456,"CS","On",1
1273,63456,"CS","Off",1
1273,63456,"CS","On",2
1274,63456,"CS","Off",2
1688,78457,"US","On",3
1735,80457,"CS","On",3
1735,80457,"US","Off",3
1845,84457,"CS","Off",3
2176,96458,"US","On",4
2232,98458,"US","Off",4
2313,101458,"CS","On",4
2422,105458,"CS","Off",4
2997,126459,"CS","On",5
3051,128459,"US","On",5
3107,130459,"CS","Off",5
3107,130459,"US","Off",6
3600,148460,"CS","On",6
3710,152460,"CS","Off",6
3902,159460,"US","On",7
3957,161460,"US","Off",7
4177,169461,"CS","On",7
4286,173461,"CS","Off",7
4779,191461,"US","On",8
4834,193461,"US","Off",8
4834,193462,"CS","On",8
4943,197462,"CS","Off",8
5487,217463,"CS","On",9
5542,219462,"US","On",9
5597,221462,"US","Off",9
5597,221463,"CS","Off",9
6171,242463,"US","On",10
6225,244463,"US","Off",10
6445,252464,"CS","On",10
6554,256464,"CS","Off",10
6692,261464,"US","On",11
6746,263464,"US","Off",11
7021,273465,"CS","On",11
7131,277465,"CS","Off",11
7571,293465,"US","On",12
7572,293466,"CS","On",12
7626,295465,"US","Off",12
7681,297466,"CS","Off",12
8399,323467,"CS","On",13
8454,325466,"US","On",13
8510,327467,"CS","Off",13
8510,327467,"US","Off",14
8982,344468,"US","On",14
9038,346468,"US","Off",14
9372,358468,"CS","On",14
9484,362468,"CS","Off",14
9565,365469,"US","On",15
9617,367469,"US","Off",15
9618,367469,"US","On",15
9618,367469,"US","Off",15
