"frame","time","stimulus","event","trial"
1,57046,"start","0",NA
271,67047,"CS","on",0
325,69047,"US","on",0
380,71047,"CS","off",0
380,71047,"US","off",0
650,81048,"CS","on",1
704,83048,"US","on",1
759,85048,"CS","off",1
759,85048,"US","off",1
1027,95049,"CS","on",2
1081,97049,"US","on",2
1136,99049,"CS","off",2
1136,99049,"US","off",2
1402,109050,"CS","on",3
1456,111050,"US","on",3
1510,113050,"CS","off",3
1510,113050,"US","off",3
1779,123051,"CS","on",4
1833,125051,"US","on",4
1887,127051,"CS","off",4
1888,127051,"US","off",4
2156,137052,"CS","on",5
2212,139052,"US","on",5
2269,141052,"CS","off",5
2269,141052,"US","off",5
2540,151053,"CS","on",6
2592,153053,"US","on",6
2647,155053,"CS","off",6
2647,155053,"US","off",6
2918,165054,"CS","on",7
2974,167054,"US","on",7
3030,169054,"CS","off",7
3030,169054,"US","off",7
3308,179055,"CS","on",8
3365,181055,"US","on",8
3421,183055,"CS","off",8
3421,183055,"US","off",8
3690,193056,"CS","on",9
3746,195056,"US","on",9
3803,197056,"CS","off",9
3803,197056,"US","off",9
