"frame","time","stimulus","event","trial"
269,51849,"CS","on",0
323,53849,"US","on",0
377,55849,"CS","off",0
377,55849,"US","off",0
647,65850,"CS","on",1
701,67850,"US","on",1
755,69850,"CS","off",1
755,69850,"US","off",1
1025,79851,"CS","on",2
1079,81851,"US","on",2
1134,83851,"CS","off",2
1134,83851,"US","off",2
1404,93852,"CS","on",3
1459,95852,"US","on",3
1513,97852,"CS","off",3
1513,97852,"US","off",3
1783,107853,"CS","on",4
1837,109853,"US","on",4
1892,111853,"CS","off",4
1892,111853,"US","off",4
2161,121854,"CS","on",5
2215,123854,"US","on",5
2270,125854,"CS","off",5
2270,125854,"US","off",5
2538,135855,"CS","on",6
2590,137856,"US","on",6
2645,139855,"CS","off",6
2645,139855,"US","off",6
2910,149856,"CS","on",7
2964,151856,"US","on",7
3018,153856,"CS","off",7
3019,153856,"US","off",7
3287,163857,"CS","on",8
3341,165857,"US","on",8
3395,167857,"CS","off",8
3395,167857,"US","off",8
3663,177858,"CS","on",9
3717,179858,"US","on",9
3771,181858,"CS","off",9
3772,181858,"US","off",9
