"frame","time","stimulus","event","trial"
2,162702,"start","0",NA
271,172703,"CS","on",0
326,174703,"US","on",0
381,176703,"CS","off",0
381,176703,"US","off",0
652,186704,"CS","on",1
707,188704,"US","on",1
762,190704,"CS","off",1
762,190704,"US","off",1
1035,200705,"CS","on",2
1090,202705,"US","on",2
1145,204705,"CS","off",2
1145,204705,"US","off",2
1416,214706,"CS","on",3
1471,216706,"US","on",3
1526,218706,"CS","off",3
1526,218706,"US","off",3
NA,NA,"Starting","a",NA
NA,NA,"","",NA
1587,228707,"CS","on",4
1587,230707,"US","on",4
1587,232707,"CS","off",4
1587,232707,"US","off",4
1587,242708,"CS","on",5
1587,244708,"US","on",5
1587,246708,"CS","off",5
1587,246708,"US","off",5
1587,256709,"CS","on",6
1587,258709,"US","on",6
1587,260709,"CS","off",6
1587,260709,"US","off",6
1587,270710,"CS","on",7
1587,272710,"US","on",7
1587,274710,"CS","off",7
1587,274710,"US","off",7
1587,284711,"CS","on",8
1587,286711,"US","on",8
1587,288711,"CS","off",8
1587,288711,"US","off",8
1587,298712,"CS","on",9
1587,300712,"US","on",9
1587,302712,"CS","off",9
1587,302712,"US","off",9
