"frame","time","stimulus","event","trial"
1,23951,"start","0",NA
277,33952,"CS","on",0
332,35952,"US","on",0
388,37952,"CS","off",0
388,37952,"US","off",0
664,47953,"CS","on",1
719,49953,"US","on",1
775,51953,"CS","off",1
775,51953,"US","off",1
1051,61954,"CS","on",2
1106,63954,"US","on",2
1161,65954,"CS","off",2
1161,65954,"US","off",2
1440,75955,"CS","on",3
1496,77955,"US","on",3
1553,79955,"CS","off",3
1553,79955,"US","off",3
1835,89956,"CS","on",4
1891,91956,"US","on",4
1948,93956,"CS","off",4
1948,93956,"US","off",4
2229,103957,"CS","on",5
2285,105957,"US","on",5
2342,107957,"CS","off",5
2342,107957,"US","off",5
2615,117958,"CS","on",6
2670,119958,"US","on",6
2726,121958,"CS","off",6
2726,121958,"US","off",6
3002,131959,"CS","on",7
3058,133959,"US","on",7
3113,135959,"CS","off",7
3113,135959,"US","off",7
3389,145960,"CS","on",8
3444,147960,"US","on",8
3499,149960,"CS","off",8
3499,149960,"US","off",8
3776,159961,"CS","on",9
3831,161961,"US","on",9
3886,163961,"CS","off",9
3887,163961,"US","off",9
