"frame","time","stimulus","event","trial"
1,28086,"start","0",NA
274,38087,"CS","on",0
330,40087,"US","on",0
386,42087,"CS","off",0
386,42087,"US","off",0
668,52088,"CS","on",1
724,54088,"US","on",1
776,56088,"CS","off",1
776,56088,"US","off",1
1037,66089,"CS","on",2
1089,68089,"US","on",2
1144,70089,"CS","off",2
1144,70089,"US","off",2
1418,80090,"CS","on",3
1473,82091,"US","on",3
1529,84090,"CS","off",3
1529,84090,"US","off",3
1804,94091,"CS","on",4
1859,96091,"US","on",4
1915,98091,"CS","off",4
1915,98091,"US","off",4
2188,108092,"CS","on",5
2244,110092,"US","on",5
2299,112092,"CS","off",5
2299,112092,"US","off",5
2573,122093,"CS","on",6
2628,124093,"US","on",6
2683,126093,"CS","off",6
2683,126093,"US","off",6
2958,136094,"CS","on",7
3013,138094,"US","on",7
3069,140094,"CS","off",7
3069,140094,"US","off",7
3344,150095,"CS","on",8
3399,152095,"US","on",8
3455,154095,"CS","off",8
3455,154095,"US","off",8
3729,164096,"CS","on",9
3785,166096,"US","on",9
3840,168096,"CS","off",9
3840,168096,"US","off",9
