"frame","time","stimulus","event","trial"
2,7921,"start","0",NA
276,17922,"CS","on",0
333,19922,"US","on",0
391,21922,"CS","off",0
391,21922,"US","off",0
672,31923,"CS","on",1
729,33923,"US","on",1
786,35923,"CS","off",1
786,35923,"US","off",1
1044,45924,"CS","on",2
1098,47924,"US","on",2
1152,49924,"CS","off",2
1152,49924,"US","off",2
1425,59925,"CS","on",3
1480,61925,"US","on",3
1536,63925,"CS","off",3
1536,63925,"US","off",3
1806,73926,"CS","on",4
1860,75926,"US","on",4
1915,77926,"CS","off",4
1915,77926,"US","off",4
2184,87927,"CS","on",5
2238,89927,"US","on",5
2292,91927,"CS","off",5
2292,91927,"US","off",5
2562,101928,"CS","on",6
2615,103928,"US","on",6
2670,105928,"CS","off",6
2670,105928,"US","off",6
2938,115929,"CS","on",7
2991,117929,"US","on",7
3045,119929,"CS","off",7
3046,119929,"US","off",7
3315,129930,"CS","on",8
3369,131930,"US","on",8
3423,133931,"CS","off",8
3423,133931,"US","off",8
3692,143932,"CS","on",9
3745,145932,"US","on",9
3799,147932,"CS","off",9
3799,147932,"US","off",9
