"frame","time","stimulus","event","trial"
280,42484,"CS","on",0
337,44484,"US","on",0
393,46484,"CS","off",0
393,46484,"US","off",0
673,56485,"CS","on",1
729,58485,"US","on",1
785,60485,"CS","off",1
785,60485,"US","off",1
1064,70486,"CS","on",2
1120,72486,"US","on",2
1176,74486,"CS","off",2
1176,74486,"US","off",2
1455,84487,"CS","on",3
1511,86487,"US","on",3
1568,88487,"CS","off",3
1568,88487,"US","off",3
1846,98488,"CS","on",4
1903,100488,"US","on",4
1959,102488,"CS","off",4
1959,102488,"US","off",4
2227,112489,"CS","on",5
2281,114489,"US","on",5
2336,116489,"CS","off",5
2337,116489,"US","off",5
2610,126490,"CS","on",6
2664,128490,"US","on",6
2720,130490,"CS","off",6
2720,130490,"US","off",6
2993,140491,"CS","on",7
3048,142491,"US","on",7
3104,144491,"CS","off",7
3104,144491,"US","off",7
3374,154492,"CS","on",8
3430,156492,"US","on",8
3485,158492,"CS","off",8
3485,158492,"US","off",8
3751,168493,"CS","on",9
3806,170493,"US","on",9
3861,172493,"CS","off",9
3861,172493,"US","off",9
