"frame","time","stimulus","event","trial"
1,37694,"start","0",NA
266,47695,"CS","on",0
319,49695,"US","on",0
373,51695,"CS","off",0
373,51695,"US","off",0
638,61696,"CS","on",1
692,63696,"US","on",1
745,65696,"CS","off",1
745,65696,"US","off",1
1010,75697,"CS","on",2
1063,77697,"US","on",2
1117,79697,"CS","off",2
1117,79697,"US","off",2
1382,89698,"CS","on",3
1435,91698,"US","on",3
1489,93698,"CS","off",3
1489,93698,"US","off",3
1754,103699,"CS","on",4
1807,105699,"US","on",4
1860,107699,"CS","off",4
1860,107699,"US","off",4
2123,117700,"CS","on",5
2176,119700,"US","on",5
2229,121700,"CS","off",5
2230,121700,"US","off",5
2467,131701,"CS","on",6
2520,133701,"US","on",6
2573,135701,"CS","off",6
2573,135701,"US","off",6
2838,145702,"CS","on",7
2892,147702,"US","on",7
2945,149702,"CS","off",7
2945,149702,"US","off",7
3210,159703,"CS","on",8
3262,161703,"US","on",8
3315,163703,"CS","off",8
3315,163703,"US","off",8
3580,173704,"CS","on",9
3633,175704,"US","on",9
3686,177704,"CS","off",9
3686,177704,"US","off",9
