"frame","time","stimulus","event","trial"
1,78376,"start","0",NA
271,88377,"CS","on",0
326,90377,"US","on",0
381,92377,"CS","off",0
381,92377,"US","off",0
652,102378,"CS","on",1
706,104378,"US","on",1
762,106378,"CS","off",1
762,106378,"US","off",1
1032,116379,"CS","on",2
1086,118379,"US","on",2
1141,120379,"CS","off",2
1141,120379,"US","off",2
1411,130380,"CS","on",3
1466,132380,"US","on",3
1520,134380,"CS","off",3
1520,134380,"US","off",3
1781,144381,"CS","on",4
1835,146381,"US","on",4
1890,148381,"CS","off",4
1890,148381,"US","off",4
2160,158382,"CS","on",5
2214,160382,"US","on",5
2269,162382,"CS","off",5
2269,162382,"US","off",5
2538,172383,"CS","on",6
2594,174383,"US","on",6
2650,176384,"CS","off",6
2650,176384,"US","off",6
2930,186385,"CS","on",7
2987,188385,"US","on",7
3040,190385,"CS","off",7
3040,190385,"US","off",7
3308,200386,"CS","on",8
3363,202386,"US","on",8
3415,204386,"CS","off",8
3415,204386,"US","off",8
3695,214387,"CS","on",9
3752,216387,"US","on",9
3808,218387,"CS","off",9
3809,218387,"US","off",9
