"frame","time","stimulus","event","trial"
2,41882,"start","0",NA
286,51883,"CS","on",0
343,53883,"US","on",0
400,55883,"CS","off",0
400,55883,"US","off",0
681,65884,"CS","on",1
739,67884,"US","on",1
797,69884,"CS","off",1
797,69884,"US","off",1
1084,79885,"CS","on",2
1142,81885,"US","on",2
1200,83885,"CS","off",2
1200,83885,"US","off",2
1487,93886,"CS","on",3
1544,95886,"US","on",3
1602,97886,"CS","off",3
1602,97886,"US","off",3
1888,107887,"CS","on",4
1946,109887,"US","on",4
2004,111887,"CS","off",4
2004,111887,"US","off",4
2285,121888,"CS","on",5
2343,123888,"US","on",5
2402,125888,"CS","off",5
2402,125888,"US","off",5
2691,135889,"CS","on",6
2749,137889,"US","on",6
2807,139889,"CS","off",6
2807,139889,"US","off",6
3096,149890,"CS","on",7
3154,151890,"US","on",7
3212,153890,"CS","off",7
3212,153890,"US","off",7
3500,163891,"CS","on",8
3558,165891,"US","on",8
3617,167891,"CS","off",8
3617,167891,"US","off",8
3905,177892,"CS","on",9
3963,179892,"US","on",9
4021,181892,"CS","off",9
4021,181892,"US","off",9
