"frame","time","stimulus","event","trial"
1,38513,"start","0",NA
270,48514,"CS","on",0
324,50514,"US","on",0
378,52514,"CS","off",0
378,52514,"US","off",0
647,62515,"CS","on",1
701,64515,"US","on",1
755,66515,"CS","off",1
755,66515,"US","off",1
1023,76516,"CS","on",2
1077,78516,"US","on",2
1131,80516,"CS","off",2
1131,80516,"US","off",2
1400,90517,"CS","on",3
1454,92517,"US","on",3
1508,94517,"CS","off",3
1508,94517,"US","off",3
1763,104518,"CS","on",4
1817,106518,"US","on",4
1871,108518,"CS","off",4
1871,108518,"US","off",4
2135,118519,"CS","on",5
2186,120519,"US","on",5
2240,122519,"CS","off",5
2240,122519,"US","off",5
2510,132520,"CS","on",6
2565,134520,"US","on",6
2620,136520,"CS","off",6
2620,136520,"US","off",6
2872,146521,"CS","on",7
2927,148521,"US","on",7
2983,150521,"CS","off",7
2983,150521,"US","off",7
3250,160522,"CS","on",8
3304,162522,"US","on",8
3358,164523,"CS","off",8
3358,164523,"US","off",8
3626,174524,"CS","on",9
3680,176524,"US","on",9
3735,178524,"CS","off",9
3735,178524,"US","off",9
