"frame","time","stimulus","event","trial"
1,15752,"start","0",NA
269,25753,"CS","on",0
323,27753,"US","on",0
378,29753,"CS","off",0
378,29753,"US","off",0
650,39754,"CS","on",1
705,41754,"US","on",1
760,43754,"CS","off",1
760,43754,"US","off",1
1028,53755,"CS","on",2
1082,55755,"US","on",2
1137,57755,"CS","off",2
1137,57755,"US","off",2
1406,67756,"CS","on",3
1460,69756,"US","on",3
1515,71756,"CS","off",3
1515,71756,"US","off",3
1784,81757,"CS","on",4
1838,83757,"US","on",4
1892,85757,"CS","off",4
1892,85757,"US","off",4
2160,95758,"CS","on",5
2213,97758,"US","on",5
2268,99758,"CS","off",5
2268,99758,"US","off",5
2536,109759,"CS","on",6
2590,111759,"US","on",6
2644,113759,"CS","off",6
2644,113759,"US","off",6
2911,123760,"CS","on",7
2965,125760,"US","on",7
3020,127760,"CS","off",7
3020,127760,"US","off",7
3293,137761,"CS","on",8
3348,139761,"US","on",8
3404,141761,"CS","off",8
3404,141761,"US","off",8
3677,151762,"CS","on",9
3733,153762,"US","on",9
3789,155762,"CS","off",9
3789,155762,"US","off",9
