"frame","time","stimulus","event","trial"
1,138233,"start","0",NA
272,148234,"CS","on",0
324,150234,"US","on",0
378,152235,"CS","off",0
378,152235,"US","off",0
647,162236,"CS","on",1
701,164236,"US","on",1
756,166236,"CS","off",1
756,166236,"US","off",1
1026,176237,"CS","on",2
1079,178237,"US","on",2
1133,180237,"CS","off",2
1133,180237,"US","off",2
1402,190238,"CS","on",3
1456,192238,"US","on",3
1511,194238,"CS","off",3
1511,194238,"US","off",3
1780,204239,"CS","on",4
1834,206239,"US","on",4
1889,208239,"CS","off",4
1889,208239,"US","off",4
2158,218240,"CS","on",5
2210,220240,"US","on",5
2266,222240,"CS","off",5
2266,222240,"US","off",5
2540,232241,"CS","on",6
2596,234241,"US","on",6
2653,236241,"CS","off",6
2653,236241,"US","off",6
2933,246242,"CS","on",7
2989,248242,"US","on",7
3046,250242,"CS","off",7
3046,250242,"US","off",7
3325,260243,"CS","on",8
3382,262243,"US","on",8
3439,264243,"CS","off",8
3439,264243,"US","off",8
3719,274244,"CS","on",9
3775,276244,"US","on",9
3832,278244,"CS","off",9
3832,278244,"US","off",9
