"frame","time","stimulus","event","trial"
2,46815,"start","0",NA
275,56816,"CS","on",0
331,58816,"US","on",0
387,60816,"CS","off",0
387,60816,"US","off",0
664,70817,"CS","on",1
719,72817,"US","on",1
775,74817,"CS","off",1
775,74817,"US","off",1
1054,84818,"CS","on",2
1110,86818,"US","on",2
1166,88818,"CS","off",2
1166,88818,"US","off",2
1444,98819,"CS","on",3
1500,100819,"US","on",3
1556,102819,"CS","off",3
1556,102819,"US","off",3
1835,112820,"CS","on",4
1891,114820,"US","on",4
1947,116820,"CS","off",4
1947,116820,"US","off",4
2225,126821,"CS","on",5
2281,128821,"US","on",5
2337,130821,"CS","off",5
2337,130821,"US","off",5
2610,140822,"CS","on",6
2666,142822,"US","on",6
2723,144822,"CS","off",6
2723,144822,"US","off",6
3003,154823,"CS","on",7
3059,156823,"US","on",7
3116,158823,"CS","off",7
3116,158823,"US","off",7
3396,168824,"CS","on",8
3451,170824,"US","on",8
3508,172824,"CS","off",8
3508,172824,"US","off",8
3788,182825,"CS","on",9
3844,184825,"US","on",9
3900,186825,"CS","off",9
3900,186825,"US","off",9
