"frame","time","stimulus","event","trial"
279,29586,"CS","on",0
335,31586,"US","on",0
391,33586,"CS","off",0
391,33586,"US","off",0
669,43587,"CS","on",1
724,45587,"US","on",1
780,47587,"CS","off",1
780,47587,"US","off",1
1058,57588,"CS","on",2
1113,59588,"US","on",2
1169,61588,"CS","off",2
1169,61588,"US","off",2
1448,71589,"CS","on",3
1503,73589,"US","on",3
1559,75589,"CS","off",3
1559,75589,"US","off",3
1838,85590,"CS","on",4
1894,87590,"US","on",4
1950,89590,"CS","off",4
1950,89590,"US","off",4
2223,99591,"CS","on",5
2277,101591,"US","on",5
2332,103591,"CS","off",5
2332,103591,"US","off",5
2608,113592,"CS","on",6
2664,115592,"US","on",6
2720,117592,"CS","off",6
2720,117592,"US","off",6
2989,127593,"CS","on",7
3043,129593,"US","on",7
3097,131593,"CS","off",7
3097,131593,"US","off",7
3360,141594,"CS","on",8
3414,143594,"US","on",8
3468,145594,"CS","off",8
3469,145594,"US","off",8
3738,155595,"CS","on",9
3792,157595,"US","on",9
3846,159595,"CS","off",9
3846,159595,"US","off",9
