"frame","time","stimulus","event","trial"
2,29650,"start","0",NA
271,39651,"CS","on",0
328,41651,"US","on",0
386,43651,"CS","off",0
386,43651,"US","off",0
672,53652,"CS","on",1
729,55652,"US","on",1
787,57652,"CS","off",1
787,57652,"US","off",1
1073,67653,"CS","on",2
1130,69653,"US","on",2
1188,71653,"CS","off",2
1188,71653,"US","off",2
1474,81654,"CS","on",3
1532,83654,"US","on",3
1590,85654,"CS","off",3
1590,85654,"US","off",3
1877,95655,"CS","on",4
1935,97655,"US","on",4
1993,99655,"CS","off",4
1993,99655,"US","off",4
2280,109656,"CS","on",5
2338,111656,"US","on",5
2396,113656,"CS","off",5
2396,113656,"US","off",5
2684,123657,"CS","on",6
2741,125657,"US","on",6
2799,127657,"CS","off",6
2799,127657,"US","off",6
3087,137658,"CS","on",7
3144,139658,"US","on",7
3202,141658,"CS","off",7
3202,141658,"US","off",7
3489,151659,"CS","on",8
3547,153659,"US","on",8
3605,155659,"CS","off",8
3605,155659,"US","off",8
3892,165660,"CS","on",9
3949,167660,"US","on",9
4002,169660,"CS","off",9
4002,169660,"US","off",9
