"frame","time","stimulus","event","trial"
2,50113,"start","0",NA
280,60114,"CS","on",0
337,62114,"US","on",0
394,64114,"CS","off",0
394,64114,"US","off",0
678,74115,"CS","on",1
734,76115,"US","on",1
791,78115,"CS","off",1
791,78115,"US","off",1
1075,88116,"CS","on",2
1132,90116,"US","on",2
1189,92116,"CS","off",2
1189,92116,"US","off",2
1474,102117,"CS","on",3
1531,104117,"US","on",3
1588,106117,"CS","off",3
1588,106117,"US","off",3
1872,116118,"CS","on",4
1929,118118,"US","on",4
1986,120118,"CS","off",4
1986,120118,"US","off",4
2271,130119,"CS","on",5
2328,132119,"US","on",5
2385,134119,"CS","off",5
2385,134119,"US","off",5
2671,144120,"CS","on",6
2728,146120,"US","on",6
2785,148120,"CS","off",6
2786,148120,"US","off",6
3069,158121,"CS","on",7
3127,160121,"US","on",7
3184,162121,"CS","off",7
3184,162121,"US","off",7
3468,172122,"CS","on",8
3525,174123,"US","on",8
3582,176122,"CS","off",8
3583,176122,"US","off",8
3866,186123,"CS","on",9
3923,188123,"US","on",9
3980,190123,"CS","off",9
3981,190123,"US","off",9
