"frame","time","stimulus","event","trial"
280,86278,"CS","on",0
336,88278,"US","on",0
392,90278,"CS","off",0
392,90278,"US","off",0
671,100279,"CS","on",1
726,102279,"US","on",1
782,104279,"CS","off",1
782,104279,"US","off",1
1060,114280,"CS","on",2
1115,116280,"US","on",2
1171,118280,"CS","off",2
1171,118280,"US","off",2
1436,128281,"CS","on",3
1492,130281,"US","on",3
1548,132281,"CS","off",3
1548,132281,"US","off",3
1823,142282,"CS","on",4
1879,144282,"US","on",4
1935,146282,"CS","off",4
1935,146282,"US","off",4
2210,156283,"CS","on",5
2266,158283,"US","on",5
2322,160283,"CS","off",5
2322,160283,"US","off",5
2600,170284,"CS","on",6
2656,172284,"US","on",6
2712,174284,"CS","off",6
2712,174284,"US","off",6
2991,184285,"CS","on",7
3047,186285,"US","on",7
3104,188285,"CS","off",7
3104,188285,"US","off",7
3382,198286,"CS","on",8
3435,200286,"US","on",8
3491,202286,"CS","off",8
3491,202286,"US","off",8
3771,212287,"CS","on",9
3826,214287,"US","on",9
3883,216287,"CS","off",9
3883,216287,"US","off",9
