"frame","time","stimulus","event","trial"
1,109440,"start","0",NA
275,119441,"CS","on",0
331,121441,"US","on",0
387,123441,"CS","off",0
387,123441,"US","off",0
665,133442,"CS","on",1
720,135442,"US","on",1
777,137442,"CS","off",1
777,137442,"US","off",1
1056,147443,"CS","on",2
1112,149443,"US","on",2
1168,151443,"CS","off",2
1168,151443,"US","off",2
1448,161444,"CS","on",3
1504,163444,"US","on",3
1561,165444,"CS","off",3
1561,165444,"US","off",3
1840,175446,"CS","on",4
1896,177445,"US","on",4
1953,179445,"CS","off",4
1953,179445,"US","off",4
2233,189446,"CS","on",5
2289,191446,"US","on",5
2345,193446,"CS","off",5
2345,193446,"US","off",5
2624,203447,"CS","on",6
2680,205447,"US","on",6
2736,207447,"CS","off",6
2737,207447,"US","off",6
3017,217448,"CS","on",7
3073,219448,"US","on",7
3129,221448,"CS","off",7
3129,221448,"US","off",7
3409,231449,"CS","on",8
3465,233449,"US","on",8
3521,235449,"CS","off",8
3521,235449,"US","off",8
3801,245450,"CS","on",9
3858,247450,"US","on",9
3914,249450,"CS","off",9
3914,249450,"US","off",9
